name	zl	zs	theta_Er	Dobs	Dobserr
J0151+0049	0.517	1.364	3.29673E-06	0.462274084	0.17432298
J0747+4448	0.437	0.897	2.95736E-06	0.258943659	0.101704595
J0747+5055	0.438	0.898	3.6361E-06	0.249611006	0.096790643
J0801+4727	0.483	1.518	2.37559E-06	1.603722207	0.805938588
J0830+5116	0.53	1.332	5.52688E-06	0.527243504	0.158031882
J0944-0147	0.539	1.179	3.49066E-06	0.583444188	0.211376813
J1159-0007	0.579	1.346	3.29673E-06	0.816993464	0.417428697
J1215+0047	0.642	1.297	6.64195E-06	0.672302624	0.248408645
J1221+3806	0.535	1.284	3.3937E-06	0.652515653	0.342015583
J1234-0241	0.49	1.016	2.56951E-06	1.21639089	0.6332031
J1318-0104	0.659	1.396	3.29673E-06	0.712809779	0.238098266
J1337+3620	0.564	1.182	6.73891E-06	0.936635465	0.313447104
J1349+3612	0.44	0.893	3.6361E-06	0.821918529	0.197609328
J1352+3216	0.463	1.034	8.82361E-06	2.349585234	0.674809554
J1522+2910	0.555	1.311	3.58762E-06	0.889081123	0.314855387
J1541+1812	0.56	1.113	3.10281E-06	0.663567805	0.200778752
J1542+1629	0.352	1.023	5.04206E-06	0.795942408	0.158131298
J1545+2748	0.522	1.289	5.86625E-06	0.688650673	0.224902439
J1601+2138	0.544	1.446	4.1694E-06	0.634141968	0.236902185
J1611+1705	0.477	1.211	2.81192E-06	1.6345174	0.709913842
J1631+1854	0.408	1.086	7.90246E-06	0.764992731	0.12685251
J1637+1439	0.391	0.874	3.15129E-06	0.488251908	0.154443937
J2122+0409	0.626	1.452	7.66006E-06	0.516213549	0.1896214
J2125+0411	0.363	0.978	5.81776E-06	0.666666667	0.125425498
J2303+0037	0.458	0.936	4.9451E-06	0.45826648	0.11829901
CFRS03-1077	0.938	2.941	6.01169E-06	0.65697564	0.129631951
HST-14176	0.81	3.399	6.83587E-06	0.909600426	0.172404606
HST-15433	0.497	2.092	1.74533E-06	0.8	0.17504468
MG-2016	1.004	3.263	7.56309E-06	0.449855631	0.105790173
Q0047-2808	0.485	3.595	6.4965E-06	0.814547676	0.152010522
J0212-0555	0.75	2.74	6.15713E-06	0.574713892	0.117965762
J0213-0743	0.717	3.48	1.1587E-05	0.966652042	0.257140369
J0214-0405	0.609	1.88	6.83587E-06	0.570284259	0.201021181
J0217-0513	0.646	1.847	6.15713E-06	0.688922218	0.181560885
J0219-0829	0.389	2.15	6.30258E-06	0.508297925	0.105212486
J0223-0534	0.499	1.44	5.91473E-06	0.493437444	0.114056926
J0225-0454	0.238	1.199	8.53272E-06	1.125662862	0.250172766
J0226-0420	0.494	1.232	5.76928E-06	0.558491626	0.125742613
J0232-0408	0.352	2.34	5.04206E-06	0.438406574	0.100261646
J0848-0351	0.682	1.55	4.12092E-06	0.682181234	0.169379598
J0849-0251	0.274	2.09	5.62384E-06	0.517436541	0.146214815
J0849-0412	0.722	1.54	5.33295E-06	0.334323417	0.065839637
J0850-0347	0.337	3.25	4.50877E-06	0.338199921	0.071918013
J0855-0147	0.365	3.39	4.99358E-06	0.68797878	0.180607212
J0855-0409	0.419	2.95	6.59347E-06	0.589621823	0.119495714
J0904-0059	0.611	2.36	6.78739E-06	1.467549544	0.388705196
J0959+0206	0.552	3.35	3.58762E-06	0.648833223	0.172072961
J1359+5535	0.783	2.77	5.52688E-06	0.729122536	0.210325978
